label,claim
false,The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.
mostly-true,"Almost 400 arrests in the city last year for panhandling-related offenses involved just 78 suspects, an indication that the same people are panhandling over and over."
mostly-true,"Nevada is No. 1 in unemployment, violent crime, car theft, divorce, robberies and foreclosures."
half-true,Al-Qaida has grown fourfold in five years.
half-true,There was even a time when (Donald Trump) didnt get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged.
true,"Whether you like to admit it or not, half our general revenue goes to education."
pants-fire,Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms.
mostly-true,The stock market has almost tripled since April of 2009.
half-true,Ninety percent of the people in Arkansas still love Bill Clinton.
half-true,"The United States doesnt have the highest murder rate among developed countries. You look at Russia, you look at Brazil, those are countries that have 3 to 5 times higher murder rates than what we have here in the United States."
mostly-true,"Barbara Buono by the numbers: As a Trenton politician, she voted to raise taxes 154 times. Under her, property taxes up 70 percent. Backed a 16 percent sales tax increase. Utilities, nursing homes, cell phones, parking lots, lottery wins, gyms She taxed them all. Architect of Corzines budget, she drove New Jersey $2 billion into debt. Barbara Buono by the numbers: taking New Jersey backwards."
half-true,"Says we have put more boots on the U.S.-Mexico border than at any time in our history, and illegal crossings are down by nearly 80 percent from their peak in 2000."
half-true,The recent process of awarding $3 billion worth of airport vending contracts was the most open and transparent procurement process in the citys history.
mostly-true,"Says Jennifer Horn, chairwoman of the N.H. Republican Party, owes $92,000 in back taxes."
true,I wake up every morning in a house (the White House) that was built by slaves.
barely-true,In this country we have more natural gas than Saudi Arabia has oil.
false,Tarpon Springs takes its homeless to St. Petersburg.
barely-true,Harry Reid has voted to give illegals Social Security benefits even for the time they were here illegally.
true,"Since being elected in 2002, Scott Walker has given back over $370,000 of his salary to the county."
false,"The 2011 Rebuild America Jobs Act would have cost the average American family $1,000 a year while making no significant impact to fix our infrastructure and roads."
mostly-true,Taxpayers are paying a fortune for the use of Air Force One on the campaign trail by President Barack Obama and Hillary Clinton.
half-true,Joe Biden is the only candidate with a plan to get us out of Iraq and keep us out.
half-true,Says the director of NASA says its main mission is Muslim outreach.
true,Ohio companies export more goods and services globally than 41 other states.
pants-fire,"Congressional Republicans have introduced dozens of bills on social issues and other topics, but zero on job creation."
true,"Marco Rubio spent $400K of your tax dollars remodeling offices, and building a members-only lounge."
mostly-true,"Weve added, in the last eight years, $4 trillion of debt to the nations obligations."
half-true,"People buy more items during Georgias sales-tax holidays, boosting economic activity."
barely-true,Says Sen. Elizabeth Warren lives in a $5.4 million mansion.
false,Jobs that involve the minimum wage are overwhelmingly jobs for young people starting out in the workforce.
true,The ratio of corporate profits to wages is now higher than at any time since just before the Great Depression.
false,"Says the Internal Revenue Service estimated it must hire 16,500 agents at a cost of $10 billion to the taxpayer to enforce the federal health care overhaul."
false,"Ryan Sittons company accepted over $650,000 in Obama stimulus dollars."
pants-fire,Says there was a NATO base in Turkey being under attack by terrorists.
true,"Black voter turnout in 2012 exceeded the rate of white voter turnout, even in the states with the strictest voter ID laws."
half-true,"When it comes to transportation funds, Georgians spend more in taxes and on red tape than they get back from the federal government."
true,States with the highest gun ownership rates also have the highest suicide rates.
mostly-true,The vast majority of people in this country are keeping their (health insurance) plan.
half-true,Sherrod Brown and his special interest allies in Washington are plotting to spend over $13 million to defeat Josh Mandel.
true,Says you need a photo ID to purchase Sudafed in Texas.
half-true,"Wisconsin requires, by law, a photo ID to vote."
half-true,Says private-sector job growth in 2011 places New Jersey in the top third among all of the states.
false,Glenn Hegar promised to eliminate the property tax.
false,Says unemployment in Ohio is significantly higher than the unemployment rate in states which are not forced union states and its always been that way.
half-true,"Among manufacturers with fewer than 50 employees, the average cost in terms of regulations is $34,000 per employee."
true,"Approximately 43 percent of all college grades today are As, an increase of 28 percentage points since 1960."
half-true,"The prosecution of state Sen. Don Balfour cost less than $100, excluding prosecutors salaries."
mostly-true,Net immigration from Mexico last year was zero. Fact-check me.
false,I was the first member of Congress to call him (Barack Obama) a socialist...
barely-true,"Californias marijuana legalization initiative, Prop. 64 allows marijuana smoking ads in prime time, on programs with millions of children and teenage viewers."
mostly-true,"Inequality in Texas is steadily getting worse, with very few rich people, a great many poor people, and fewer and fewer in the middle."
mostly-true,A child born in America today will inherit $1.5 million in debt the moment theyre placed in their mothers arms.
barely-true,Says Schaufler was the only Democrat who voted to stop the states health care reform plan.
false,Obamacare is the biggest tax increase in American history.
false,The Obama administration just issued instructions that terrorism training should not involve any reference to Islam.
true,You have to get a license to fish on our beaches.
mostly-true,There have been at least 100 shootings each year [Angel Taveras] has been mayor of Providence.
pants-fire,"Obama says America is great, but let's ""try to change it."""
false,"On Sandra Day O'Connor: ""I think one reason she was a good judge is she had no judicial experience"" before she joined the Supreme Court."
half-true,Veterans unemployment is actually now lower than (the) general population. It was higher when I came into office.
pants-fire,I never said that Marco Rubio was Mark Zuckerbergs personal senator.
barely-true,Senator Jeff Plale saved my job -- and some 300 others at Bucyrus International.
half-true,George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.
mostly-true,41 cents out of every dollar (the U.S. spends) is borrowed from places like China.
half-true,"While the countrys economy was battered, nine states with no income tax actually grew jobs from 2001 to 2010."
half-true,"The senior senator from Arizona (John McCain) said he couldnt support repealing dont ask, dont tell because of the economy."
false,The Miami Dolphins are the only NFL team in the entire nation that pays property taxes.
mostly-true,"Says Ronald Reagan understood repeatedly that when the deficit started to get out of control, that for him to make a deal he would have to propose both spending cuts and tax increases."
barely-true,We confer more PhDs each year than any other university in America except Berkeley.
barely-true,President Barack Obamas health care reform slashed $500 billion from Medicare.
barely-true,The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion.
false,Theres only one candidate under investigation -- Terry McAuliffe.
true,The United States has one of the highest corporate tax rates in the world.
mostly-true,We have the lowest per-capita spending of any state in the nation except for South Dakota.
true,"Rick Scott has heavily invested in a company that is geared to helping illegal aliens transfer money to family and friends out of the country."""
false,"When (Marcy) Kaptur fought for the Democrats prescription drug benefit for seniors, (Dennis) Kucinich voted no."
barely-true,The city of Pembroke Pines doesnt have a vote in a plan to build a detention center in Southwest Ranches.
barely-true,"Rep. Carol Shea-Porter votes with Nancy Pelosis Democrats 95 percent of the time, but Frank Guinta will take on both parties and has independent New Hampshire values."
true,Supreme Court 15 times over the last 120 years has said marriage is a fundamental right and never said it had to be between a man and a woman.
false,"I am the only person in this field who is against amnesty. Every other person in this field wants to allow people who are here illegally to be able to stay here, in one form or another."
true,Foreign aid is less than 1 percent of our federal budget.
false,Says Hillary Clintons State Department blocked investigation into Orlando killers mosque.
false,Hillary Clinton believed NAFTA was a 'boon' to our economy.
half-true,"[Mitt] Romney and [Brendan] Doherty certainly have a lot in common, like flip-flopping on abortion -- in Dohertys case, in a little over a week."
mostly-true,More than 10 years of free trade has brought a $2 billion per day trade deficit.
true,California is home to the largest death row populationin the Western Hemisphere.
barely-true,Says Mitt Romney once supported President Obamas health care plan but now opposes it.
false,This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip.
false,The President wants the U.S. to sign on to the U.N.s International Criminal Court.
half-true,More than 25 million Americans are unemployed. More than 50 million live without health insurance. Perhaps 100 million live in poverty.
mostly-true,"In almost every other country in the world, artists and musicians are paid when their music is played on the radio. In fact, the only countries besides the U.S. who do not have a radio-performance right are China, Iran and North Korea."
barely-true,Common Core means there are over 300 data elements the government is going to be collecting about your children and about you.
mostly-true,Says George LeMieux falsely attacked Marco Rubio.
false,Portland spent nearly $1 million in federal stimulus money to install bike path signs where they already existed.
false,Says Donald Trump always pays his bills promptly.
true,"When Moammar Gadhafi was set to visit the United Nations, and no one would let him stay in New York, Trump allowed Gadhafi to set up an elaborate tent at his Westchester County (New York) estate."
mostly-true,Says Mitt Romney supports a plan to slowly and gradually raise the retirement age of Social Security.
half-true,"We are dealing with an administration that, quite frankly, has shown a reluctance to enforce the immigration law."
true,"It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison."
pants-fire,"When (Barack Obama) took office, 2.3 million people were out of work. Five-plus years later, we have 5 million-plus out of work."
barely-true,"Youre paying for...(state Sen. Diane Allens) health care, and she took yours away."
half-true,"Every dropout costs us $72,000 for the life of that person."
false,"Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created fewer jobs, according to the Bureau of Labor Statistics."
pants-fire,"Any child born prematurely, according to the president, in his own words, can be killed."
half-true,Obama voted for the Bush-Cheney energy bill that put $6-billion in the pocket of big oil.
pants-fire,Says a Senate resolution would restore $140 in monthly general assistance payments and prevent people from committing crime.
false,A legacy of taxing and borrowing crippled the economy we inherited two years ago.
mostly-true,Georgia and other states with weak gun laws have more crime.
false,"George Allen had 40,000 earmarks while he was a senator."
false,The gun industry isthe only business in America that is wholly protected from any kind of liability.
pants-fire,Says the Obama administration plans to ban all weapons for U.S. citizens through international treaties.
false,Says Mark Pryor voted to give Social Security benefits to illegal immigrants.
half-true,Ponzi schemer Scott Rothstein gave hundreds of thousands of campaign cash to control Crists appointments of key state judges.
true,"In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city."
mostly-true,"Since 1970, the Clean Air Act has reduced toxic and health-threatening air pollution by 60 percent while our economy has grown more than 200 percent."
half-true,90 percent of fires in Arizona are human-caused.
mostly-true,If upstate New York split from downstate the economic indicators of upstate New York would be among the lowest in the country.
half-true,Women make 77 cents for every dollar earned by men.
mostly-true,"For the last decade, funding in the health and human services budget has grown at twice the rate as other parts of the budget, and I think that context is important."
true,"Says Mitt Romney had millions in the Cayman Islands, a tax haven."
mostly-true,"Says she introduced a ban on ""dirty dancing."""
barely-true,Obama has proposed 442 tax hikes since taking office.
false,"Says during George W. Bushs administration we were losing millions of jobs per month, while under Barack Obama we have three years of gaining hundreds of thousands of jobs per month."
half-true,We spend a staggering amount of money on health care over $2-trillion and almost twice as much as any other country per person.
false,Under the Iran deal: If Israel attacks Iran were supposed to be on Irans side.
true,The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.
barely-true,"My plan actually gives the middle class the greatest break: $2,000 per family."
mostly-true,"On day one, six people were able to sign up for health insurance through the federal marketplace."
mostly-true,The Seattle Times called Patty Murray a prolific sponsor of earmarks. Patty even defended the Bridge to Nowhere.
mostly-true,Says legislation pending in the House would effectively limit or eliminate time-and-a-half for people who work overtime.
false,This is the first time since the Depression that unemployment has stayed above 9 percent for two consecutive years.
half-true,The nation as a whole has created jobs at a rate that is two times the rate that we have created jobs here in Wisconsin under Gov. Walker.
pants-fire,"Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns."
true,Says 88 Texas constables have died in the line of duty.
true,The federal government is spending 25 percent of our entire economy versus 100 years ago we spent only 2 percent.
false,Many just call him Lyin Ted. ... HisTV ad about John Kasich? Lie! Stations had to pull it off the air.
false,"Studies show that if we opened one reserve in Alaska now, in five years, gas prices could be at $2 a gallon."
half-true,"Says Donald Trump has said he loves war, including with nukes."
mostly-true,"Under Obamacare, premiums have doubled and tripled in Wisconsin."
mostly-true,"In February, John McCain suggested the Bergdahl-Taliban swap that he now calls outrageous and dangerous."
barely-true,Eliminating affirmative action in admissions in Florida led to more African American and Hispanic kids attending our university system than before.
pants-fire,"Despite opposition from national Club for Growth, Club for Growth Wisconsin has endorsed him for U.S. Senate."
false,The presidents first major foreign policy speech in Cairo was to apologize for our country.
false,We are bogged down in a war that John McCain now suggests might go on for another 100 years.
true,"If youre a Mexican, you get sent back. ... But if youre from a noncontiguous country like the Central American countries then you can stay in the United States."
pants-fire,Rhode Island: 3% bigger at low tide.
half-true,"Says the United States has the highest incarceration rate in the world with 2.3 million inmates, and the majority of Americans are imprisoned because they sold small amounts of drugs."
barely-true,"Obama ""promises more taxes on small business, seniors, your life savings, your family."""
pants-fire,"According to recent reports, a group of death panels organized under Obamacare ordered their first execution."
mostly-true,500 percent more traffic here?
false,Fast and Furious began under the Bush administration.
true,"Instead of fighting ISIS, (the Saudis) have focused more on a campaign to oust Iran-backed Houthi rebels in Yemen."
mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin."
false,Says less than half of 1 percent of all the Texas legislators who ever served draw a benefit from pensions tied to the salaries of state district judges.
false,"The fundraising numbers are in, and our grassroots support is unmatched!"
true,Three thousand felons voted in Rhode Island in 2008.
false,A Paul Ryan-Scott Walker (or Scott Walker-Paul Ryan) ticket for the White House in 2016 would be unconstitutional because both men live in Wisconsin.
half-true,"Says Justice Elena Kagan recused herself in many cases where she had little role as solicitor general, simply because of the appearance of a conflict of interest."
true,American oil production is at its highest level since 2003.
false,"I have a perfect voting record from organizations like the Veterans of Foreign Wars, the American Legion and all the other veterans service organizations."
mostly-true,"In 1978, a student who worked a minimum-wage summer job could afford to pay a years full tuition at the 4-year public university of their choice."
mostly-true,"Says that under the Obama administration, the debt has nearly doubled."
barely-true,Suntrust Bank cancels account because company sells guns.
true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children."
false,"In the House health care bill, ""Something like 2 percent of the people would [be] eligible even to get the public option."""
half-true,Surveys of teens in high school reveal that knowing a classmate who sells cannabis is 90 times more common than knowing a classmate who sells alcohol.
half-true,Says the state budget doubled property tax credits for seniors and middle class New Jerseyans and had no tax increases for any New Jersey family for the second year in a row.
half-true,95 percent of the worlds customers are beyond our shores.
true,Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.
mostly-true,"Last year, we produced 14 percent less oil on public lands than we did the year before."
pants-fire,"U.S. Rep. Jim Langevin didn't want a border fence to block illegal immigration ""because he is afraid that someone will get hurt trying to go around the fence."""
barely-true,An average of nine children a day in the U.S. die of gunshot wounds.
mostly-true,"Says that in 2008, President Barack Obama said normalization with Cuba would first require liberation of all political prisoners and some basic steps toward freedom, including freedom of the press, political parties, labor unions."
true,Says New Jerseys public school students have the best Advanced Placement scores in the nation.
barely-true,"In two terms in the Missouri General Assembly, Jason Kander passed ZERO bills that were signed into law."
half-true,"Says that according to a report, the tech sector now drives more than one-quarter of Austins economy."
half-true,Israel has seen a 90 percent reduction in terrorist attacks that it attributes to building a 500-mile fence.
half-true,"Says they said it was impossible to balance a budget at the same time, with an $11 billion deficit and we did it."
mostly-true,Says Gov. Rick Scott returned $1 million in federal funding that would have helped the state cover the cost of overseeing insurance rates under the new health care law.
half-true,Says Senate Minority Leader Mitch McConnell has blocked the Senate over 400 times.
false,"Obama ""refused to not only put his hand on his heart during the Pledge of Allegiance, but refused to say the pledge."""
half-true,"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it."
false,Says attorney general candidate Jon Richards went so far to say he would only enforce the laws with which he personally agreed.
barely-true,Ted Cruz is unknown to the vast majority of Texans.
half-true,Says today unemployment has been running near 12 percent or more for the last four years and the Legislature hasnt done much to lower it.
pants-fire,President Barack Obama has doubled the size of government since he took office.
barely-true,A 2011 measure passed into law with Wendy Davis support removes from the attorney general the ability to settle lawsuits just like the school funding case.
barely-true,"Republicans actually doctored emails between administration officials about Benghazi. Then, they released them to the press, trying to pass them off as real."
barely-true,"The U.S. ""only ranks 25th worldwide on defense spending as a percentage of GDP."""
barely-true,The Hollywood celebrities endorsing Hillary Clinton are in many cases celebrities that arent very hot anymore.
half-true,People are five to seven times more likely to be murdered in workplaces that allow firearms than in those that prohibit it.
half-true,"Rural schools ""face the highest dropout rates, the lowest college enrollment rates, have the lowest average teacher salaries..."""
pants-fire,I have always said that I would be for drilling.
mostly-true,"The top man at Yale Law School came out ... with just a raging report about former HP CEO Carly Fiorina,saying she isone of the worst executives in his memory in history running the company."
false,"The alternative to higher state worker pension and health care payments is to look at 1,500 layoffs of state employees or close to 200,000 children who would be bumped off Medicaid-related programs."
false,Obamacare puts the federal government between you and your doctor.
true,Nearly 65 percent -- almost two-thirds -- of all new permanent residents obtained that status by virtue of their family status.
mostly-true,An amendment inserted by lawmakers into the state budget exempts scientific researchers from all state animal cruelty laws.
pants-fire,Obama used $20 million in federal money to emmigrate (sic) Hamas Refugees to the USA.
barely-true,Says Donald Trump has given more money to Democratic candidates than Republican candidates.
barely-true,Says President Barack Obama failed to stand up for the bipartisan debt solutions of the Simpson-Bowles Commission.
mostly-true,I have always opposed drivers licenses for illegal aliens.
mostly-true,"Arizona schools rank 45th in the nation, dead last in funding per student."
false,Hate speech is excluded from protection under the First Amendment.
true,The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.
pants-fire,Says Wisconsin Supreme Court candidate JoAnne Kloppenburg put an 80-year-old farmer in jail for refusing to plant native vegetation on his farm.
mostly-true,Greg Abbott heads up a party whose platform calls for the repeal of the Voting Rights Act.
barely-true,"Wisconsin election officials to accept Mickey Mouse, Hitler signatures on recall petitions."
half-true,The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.
true,"You can go to Georgia and make about $6,000 more a year as a teacher."
barely-true,"I would love to see us have in this country what I helped lead in Arkansas...Amendment 65 (which) says that we believe life begins at conception, and that we ought to do everything in the world possible to protect it until its natural conclusion."
false,"If Austin voters reject Proposition 1, a completely new City-run criminal background check process will cost millions in processing fees, additional staff, and bureaucracy with taxpayers getting the bill."
half-true,Corporate tax holidays pushed by Presidents John F. Kennedy and George W. Bush brought billions of dollars back into the United States.
half-true,"We moved 100 times as many people out of poverty as moved out when President (Ronald) Reagan was in office, with 40 percentmore jobs."
true,Cigarette butts poison babies and small children because of the nicotine in them.
mostly-true,"Every day, a black name resume is 50 percent less likely to get responded to than a white nameresume."
mostly-true,Says the states new collective bargaining law effectively eliminates police unions ability to negotiate.
barely-true,Ann McLane Kuster is for a government takeover of health care more radical than Obamacare. And she supports a $700 billion cut to Medicare for current retirees.
false,The incandescent light bulb has no effect whatever on the planet.
false,"Our National Guard, as we saw in the Midwest flooding, can't function as effectively as it could. I was talking to National Guard representatives. Fifteen of their 17 helicopters in this region were overseas during the flooding."
half-true,Says Charlie Crist voted against raising the minimum wage.
half-true,Georgias U.S. senators voted for legislation that would gut clean air protections and increase oil dependence.
mostly-true,Thirteen hundred applicants in Rhode Island signed up for insurance through Obamacare.
half-true,Says Obama refuses to recognize Jerusalem as the capital of Israel.
pants-fire,Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is one of the subhuman mongrels our president set free.
mostly-true,"Today, the five largest financial institutions are 38 percent bigger than they were back in 2008, when they were too big to fail."
false,"The House health care bill provides for ""free abortion services, and probably forced participation in abortions by members of the medical profession."""
true,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.
false,"Says Barack Obama is a hypocrite for criticizing President George W. Bushs drone attack program, then using it aggressively as president."
true,Says spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget
barely-true,"Says no, youre wrong, responding to the assertion that stop-and-frisk was ruled unconstitutional in New York."
half-true,Mitt Romney supervised a company guilty of massive Medicare fraud.
false,"The Family Research Council, according to some government agencies, is a terrorist group."
mostly-true,"More than 1.5 million people moved into Georgia between the past two Census counts, and a majority consider themselves, African-American, Latino or Asian-American."
true,Thirty U.S. cities have Triple A baseball teams and virtually everyone of them [is] playing in government owned ballparks.
pants-fire,Sheriffs Call For Obamas Lynching While Leader Meets With GOP Senators
true,"In 1976, the first year that Pell Grants were fully funded, a full Pell Grant paid 72 percent of the cost of attendance at a typical four-year public college. Today, a full Pell Grant covers just 34 percent of those costs."
half-true,"John McCain ""began his career in Washington as a lobbyist when he was appointed in 1976 as the Navy's liaison to the United States Senate."""
false,Federal government reneging on Medicaid payments to Wisconsin caused about $240 million in extra costs in the 2013-15 state budget.
false,"Middle-class families throughout America (would) have to pay $6,000 per year to pay for tax cuts for the wealthy."
half-true,"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores."
false,GOP presidential hopeful Herman Cain called Ron Pauls followers ignorant.
barely-true,"Education Week says Obama 'hasn't made a significant mark on education,' is 'elusive' on accountability, and a 'staunch defender of the existing public school monopoly.'"
true,"Say that under state law, systems development charges can only be spent on capital investment."
pants-fire,Barack Obama loves Che Guevara.
half-true,The health care bill cuts the deficit by over $1 trillion dollars.
true,There is more oil produced at home than we buy from the rest of the world the first time thats happened in nearly 20 years.
false,"In the last two years, we have reduced the deficit by $2.5 trillion."
barely-true,"Says Texas has more than 80,000 abortions each year."
half-true,"She created the Waste, Fraud and Mismanagement Hotline.... (that) has saved Wisconsin taxpayers hundreds of thousands of dollars."
half-true,"In a period of roughly 72 hours, a small group of angry black students managed to force the resignation of the two highest ranking officials at that school."
true,Says fewer than 30 percent of Texas college students graduate in four years and only 58 percent graduate within six years.
pants-fire,Fundamental changes made to the language describing the Wisconsin Idea in the University of Wisconsin Systems mission statement were the result of a drafting error.
barely-true,"There is not one of the Muslim nations that doesnt have discrimination against women, discrimination against gays, subjugation of other religious beliefs."
mostly-true,Seventy percent of all Texans are overweight or obese.
false,"Nearly 70 percent of all federal spending will go towards Social Security, Medicare, and Medicaid in fiscal year 2014."
half-true,"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected."
mostly-true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty."
pants-fire,The goal of Common Core is to instill federally determined attitudes and mindsets in students including political and religious beliefs.
barely-true,Says Hillary Clinton viciously attacked women abused by Bill Clinton.
half-true,"Says that 98,184 Texans are now driving with temporary drivers licenses lacking their photos."
barely-true,Says Gov. Mike Pence and Rep. Mike Coffman take the same positions on a number of things... Coffman and Pence oppose equal rights for LGBT Americans.
false,"A report just came out that if we continue with President Obamas policies, were looking at over 9 percent unemployment next year in the fourth quarter."
barely-true,Some of our states educational administrators joined the feds in seeking to mandate Arabic classes for Texas children.
true,"During Lyndon B. Johnsons first 20 years in Congress, he opposed every civil rights measure that came up for a vote."
pants-fire,Congress Approves Bill Offering Free Cars To Welfare Recipients.
barely-true,Roy Blunt voted to raise his own pay 12 times while in Congress.
mostly-true,"The Internal Revenue code has ballooned to a 5,600-page, 4 million-word complicated mess that is seven times as long as the Bible with none of the good news."
mostly-true,"More than 50 percent of immigrants from (El Salvador, Guatemala and Honduras) use at least one major welfare program once they get here."
barely-true,Says drug cartels are using social media to offer rebates so more children from Central America get smuggled to the United States.
half-true,Says Kelly Ayotte voted to fix background checks.
false,Studies have shown that voter fraud is non-existent in Texas.
barely-true,"In 2012, the state put together a list of over 100,000 people that they thought were ineligible to vote. Came out there were less than 10."
mostly-true,Theres going to be a slowdown and delays in flights as a result of the sequester.
true,I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail.
false,"I remember one of [Curt Schillings] teammates said he painted his sock, the bloody sock."
true,My office sends federal money back every year.
true,"Switzerland and the Netherlands . . . cover all their citizens using private insurers, and they do so for much less cost."
half-true,I never said I was on the Falkland Islands.
half-true,On the propriety of budget reconciliation.
mostly-true,Obama taps porn lawyer for #2 at Justice.
false,Let me say that I dont think (Bernie Sanders has) had a single negative ad ever run against him.
false,President Barack Obamas policies have resulted in gas prices being reduced from $3.07 per gallon when he was sworn in in 2009 to $2.30 today.
barely-true,The Health Care and Education Reconciliation Act is the largest-ever investment in higher education.
half-true,"Over $1 trillion was spent on anti-poverty programs in 2011, enough to give every single poor American a check for $22,000."
barely-true,You dont know if this (the H1N1 vaccine) is gonna cause neurological damage like it did in the 1970s.
half-true,(Pete) Sessions has held at least two fundraisers at adult-themed clubs and made no apologies.
half-true,Donald Trumps decision to skip the Fox News/Google debate in Des Moines is near unprecedented.
true,The majority support (raising) the minimum wage.
mostly-true,"H.B. 194, the Voter Suppression Bill, invalidates a vote where a voter properly marks the ballot in support of a particular candidate, but also writes in the name of that same candidate."
true,"Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school no matter where they live or how much money their parents make."
mostly-true,"When career politician Daniel Webster became speaker of the House, he wasted $32,000 of our money on a spiral staircase for his office."
barely-true,"Chile ranks third internationally in economic freedom, while the U.S. ranks 17th."
true,"Before I was governor, tuition was skyrocketing and we stopped that. We capped and then we froze college tuition."
half-true,Says she helped lead the launch of curbside recycling.
true,"In 2009, Democratic Wisconsin state senators rammed through a billion-dollar tax hike in 24 hours with no public input."
half-true,Says potential GOP U.S. Senate candidate Tommy Thompson supported Obamacare
half-true,"170,000 of the jobs created in Texas under Gov. Rick Perry were government jobs."
true,Im the only governor in America ... who signed a law that says there needs to be an independent investigation any time theres a death of someone in police custody.
false,Says his tax plan wouldnt leave the federal government with a $1.1 trillion hole.
barely-true,Grocery prices have risen significantly over the past year or so.
false,Says we are going to sell this house and use the proceeds to stabilize rates.
true,More women were killed by their husbands or boyfriends since Sept. 11 than all the Americans who were killed by 9/11 or in Afghanistan and Iraq.
half-true,Obama has racked up more debt than any president in history over $5 trillion.
true,Wisconsin is one of several states where you can change your early ballot if you think youve made a mistake.
false,"Taxpayer-funded benefits to illegals in California are ""a skyrocketing cost under Obamacare."""
mostly-true,Says under the Romney-Ryan budget ... the American Opportunity Tax Credit for college tuition would be eliminated.
pants-fire,PolitiFact Oregon gave Rob Cornilles a Pants on Fire for a claim about taxes and fees.
barely-true,The U.S. Constitution owes its notion of democracy to the Iroquois Tribes.
false,"We had a massive landslide victory, as you know, in the Electoral College."
true,"Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore."
barely-true,"It was Hillary Clinton who left Americans in harms way in Benghazi and after four Americans fell said, What difference at this point does it make?"
pants-fire,"President Barack Obama is the first president to keep a dog-trainer on retainer for $102,000 a year at taxpayer expense."
false,"In 1916, the U.S. government predicted that by the 1940s all paper would come from hemp and that no more trees would need to be cut down."
true,"There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs."
barely-true,David Simpson actually voted for drivers licenses for illegal immigrants.
barely-true,"Three years after getting the $100 million (from Mark Zuckerberg), less than two-thirds of students in Cory Bookers Newark graduate."
barely-true,I didn't say it doesn't really matter whether Gore or Bush is president.
true,"Says Apple CEO Steve Jobs told President Obama that the company moved factories to China because it needed 30,000 engineers."
half-true,"In Rhode Island, Nearly 9 percent of covered employees go out on short term disability every year, with an average outage from work of almost 12 weeks each."
mostly-true,Republican House candidateMarilinda Garcia even opposes closing the loophole that allows dangerous criminals to get a gun without a background check.
true,"Every family health insurance policy has ""a $900 hidden tax"" to subsidize health care costs of the uninsured."
false,We dont need a separate (prescription drug) database ... Pharmacies already have a database in place.
pants-fire,"Says Sen. Robert Cowles, her recall opponent, supported the sale of state-owned power plants not to the highest bidder, but to the biggest donors with no oversight."
barely-true,Wisconsin was embroiled in a constitutional crisis brought on by the Democratic senators fleeing the state for Illinois to block Gov. Scott Walkers budget-repair bill.
true,North Carolina has one of the fastest growing populations as well as the fastest growing economy in the country.
false,"When I came into office, our vaccination rate in Texas was 65 percent. When I left two weeks ago, it was 95 percent."
barely-true,"If women seeking an abortion see their ultrasound, the odds are pretty high theyre going to keep the baby."
false,Milwaukee County has a parks capital budget thats bigger than its been in the last 10 years.
half-true,"As we watch the news from Colorado with horror and sympathy for the families, we should remember that each day more than 80 Americans are killed by gunfire, unnecessary tragedies."
mostly-true,Ohio currently ranks 50th out of all states in income growth.
mostly-true,A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.
barely-true,"After Sandy Hook, Ted Cruz stopped Obamas push for new gun control laws."
pants-fire,Far more children died last year drowning in their bathtubs than were killed accidentally by guns.
mostly-true,Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.
